用户号码,开始时间,开始基站,开始基站经度,开始基站纬度,结束时间,结束基站,结束基站经度,结束基站纬度,停留时间
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111409,84862983,118.7388511,32.0542501,20180827111410,84863238,118.7456501,32.0571001,1
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111410,84863238,118.7456501,32.0571001,20180827111541,84862983,118.7388511,32.0542501,91
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111703,84863243,0,0,20180827111742,9766811,118.741478,32.058667,39
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111742,9766811,118.741478,32.058667,20180827111818,9766810,118.741478,32.058667,36
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111818,9766810,118.741478,32.058667,20180827111832,84862980,118.739602,32.05798,14
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111832,84862980,118.739602,32.05798,20180827111948,230770191,0,0,76
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827111948,230770191,0,0,20180827112014,84862980,118.739602,32.05798,26
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112014,84862980,118.739602,32.05798,20180827112017,84864006,118.7393001,32.06096,3
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112017,84864006,118.7393001,32.06096,20180827112027,84863497,118.74615,32.06169,10
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112027,84863497,118.74615,32.06169,20180827112052,84297987,118.74621,32.06161,25
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112216,230825488,0,0,20180827112220,84863496,118.74615,32.06169,4
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112220,84863496,118.74615,32.06169,20180827112224,230809359,0,0,4
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112224,230809359,0,0,20180827112340,220429062,118.74863,32.06477,76
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112340,220429062,118.74863,32.06477,20180827112359,160959643,118.75013,32.05974,19
24243d51-2ebc-4b7e-af81-ba610fe98739,20180827112359,160959643,118.75013,32.05974,20180827112406,84223248,0,0,7
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827000000,84863491,118.74601,32.06161,20180827000638,9766807,118.74148,32.058667,398
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827000638,9766807,118.74148,32.058667,20180827001839,9766809,118.74148,32.058667,721
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827001839,9766809,118.74148,32.058667,20180827010207,9766807,118.74148,32.058667,2608
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827010207,9766807,118.74148,32.058667,20180827031504,9766811,118.741478,32.058667,7977
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827031504,9766811,118.741478,32.058667,20180827053332,9766808,118.74148,32.058667,8308
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827053332,9766808,118.74148,32.058667,20180827063231,9766807,118.74148,32.058667,3539
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827063231,9766807,118.74148,32.058667,20180827082156,230770177,118.73788,32.05962,6565
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827182617,220258592,118.77857,32.06104,20180827185711,84863491,118.74601,32.06161,1854
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827185711,84863491,118.74601,32.06161,20180827185723,9766808,118.74148,32.058667,12
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827185723,9766808,118.74148,32.058667,20180827185724,84863491,118.74601,32.06161,1
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827185724,84863491,118.74601,32.06161,20180827185747,9766810,118.741478,32.058667,23
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827185747,9766810,118.741478,32.058667,20180827190338,9505689,118.74213,32.04309,351
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827190338,9505689,118.74213,32.04309,20180827190340,9766810,118.741478,32.058667,2
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827190340,9766810,118.741478,32.058667,20180827190754,9505689,118.74213,32.04309,254
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827190754,9505689,118.74213,32.04309,20180827190754,9766808,118.74148,32.058667,0
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827190754,9766808,118.74148,32.058667,20180827190819,9505689,118.74213,32.04309,25
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827190819,9505689,118.74213,32.04309,20180827191052,9766810,118.741478,32.058667,153
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191052,9766810,118.741478,32.058667,20180827191130,84862978,118.73961,32.05798,38
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191130,84862978,118.73961,32.05798,20180827191133,9766810,118.741478,32.058667,3
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191133,9766810,118.741478,32.058667,20180827191254,84863235,118.74565,32.05711,81
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191254,84863235,118.74565,32.05711,20180827191258,9766809,118.74148,32.058667,4
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191258,9766809,118.74148,32.058667,20180827191306,9766810,118.741478,32.058667,8
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191306,9766810,118.741478,32.058667,20180827191309,84863235,118.74565,32.05711,3
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191309,84863235,118.74565,32.05711,20180827191315,84862978,118.73961,32.05798,6
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191315,84862978,118.73961,32.05798,20180827191323,9766809,118.74148,32.058667,8
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191323,9766809,118.74148,32.058667,20180827191412,9766810,118.741478,32.058667,49
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827191412,9766810,118.741478,32.058667,20180827194651,9766808,118.74148,32.058667,1959
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827194651,9766808,118.74148,32.058667,20180827200135,9766811,118.741478,32.058667,884
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827200135,9766811,118.741478,32.058667,20180827201050,9505689,118.74213,32.04309,555
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827201050,9505689,118.74213,32.04309,20180827201053,9766811,118.741478,32.058667,3
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827201053,9766811,118.741478,32.058667,20180827202420,9505689,118.74213,32.04309,807
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827202420,9505689,118.74213,32.04309,20180827202438,9766811,118.741478,32.058667,18
a39789fb-c03b-40ae-a88f-0fac1c3eb35a,20180827202438,9766811,118.741478,32.058667,20180827205427,9505689,118.74213,32.04309,1789
